effective_date,signal_date,risk_on,leaders,turnover,transaction_cost,weights
2021-04-01,2021-03-31,False,SGOV,0.0,0.0,{'SGOV': 1.0}
2021-05-03,2021-04-30,False,SGOV,0.0,0.0,{'SGOV': 1.0}
2021-06-01,2021-05-31,False,SGOV,0.0,0.0,{'SGOV': 1.0}
2021-07-01,2021-06-30,True,"SMIN,BLOK,PICK,FNDA,PAVE",1.0,0.0005,"{'BLOK': 0.2, 'FNDA': 0.2, 'PAVE': 0.2, 'PICK': 0.2, 'SGOV': 0.0, 'SMIN': 0.2}"
2021-08-02,2021-07-31,True,"SMIN,KCE,PICK,FNDA,PAVE",0.2,0.0001,"{'FNDA': 0.2, 'KCE': 0.2, 'PAVE': 0.2, 'PICK': 0.2, 'SGOV': 0.0, 'SMIN': 0.2}"
2021-09-01,2021-08-31,True,"SMIN,KCE,PICK,FNDA,PAVE",0.0,0.0,"{'FNDA': 0.2, 'KCE': 0.2, 'PAVE': 0.2, 'PICK': 0.2, 'SGOV': 0.0, 'SMIN': 0.2}"
2021-10-01,2021-09-30,True,"SMIN,KCE,PICK,FNDA,XLF",0.2,0.0001,"{'FNDA': 0.2, 'KCE': 0.2, 'PICK': 0.2, 'SGOV': 0.0, 'SMIN': 0.2, 'XLF': 0.2}"
2021-11-01,2021-10-31,True,"SMIN,KCE,PICK,FNDA,SPYD",0.2,0.0001,"{'FNDA': 0.2, 'KCE': 0.2, 'PICK': 0.2, 'SGOV': 0.0, 'SMIN': 0.2, 'SPYD': 0.2}"
2021-12-01,2021-11-30,True,"SMIN,KCE,XLF,FNDA,VNQ",0.4,0.0002,"{'FNDA': 0.2, 'KCE': 0.2, 'SGOV': 0.0, 'SMIN': 0.2, 'VNQ': 0.2, 'XLF': 0.2}"
2022-01-03,2021-12-31,True,"SMIN,VNQ,XLY,KCE,DIV",0.4,0.0002,"{'DIV': 0.2, 'KCE': 0.2, 'SGOV': 0.0, 'SMIN': 0.2, 'VNQ': 0.2, 'XLY': 0.2}"
2022-02-01,2022-01-31,True,"SMIN,KSA,XLF,VNQ,MLPA",0.6000000000000001,0.00030000000000000003,"{'KSA': 0.2, 'MLPA': 0.2, 'SGOV': 0.0, 'SMIN': 0.2, 'VNQ': 0.2, 'XLF': 0.2}"
2022-03-01,2022-02-28,True,"KSA,UAE,MLPA,XLP,DIV",0.6000000000000001,0.00030000000000000003,"{'DIV': 0.2, 'KSA': 0.2, 'MLPA': 0.2, 'SGOV': 0.0, 'UAE': 0.2, 'XLP': 0.2}"
2022-04-01,2022-03-31,True,"UAE,KSA,MLPA,AMLP,XLP",0.2,0.0001,"{'AMLP': 0.2, 'KSA': 0.2, 'MLPA': 0.2, 'SGOV': 0.0, 'UAE': 0.2, 'XLP': 0.2}"
2022-05-02,2022-04-30,False,SGOV,1.0,0.0005,{'SGOV': 1.0}
2022-06-01,2022-05-31,False,SGOV,0.0,0.0,{'SGOV': 1.0}
2022-07-01,2022-06-30,False,SGOV,0.0,0.0,{'SGOV': 1.0}
2022-08-01,2022-07-31,False,SGOV,0.0,0.0,{'SGOV': 1.0}
2022-09-01,2022-08-31,False,SGOV,0.0,0.0,{'SGOV': 1.0}
2022-10-03,2022-09-30,False,SGOV,0.0,0.0,{'SGOV': 1.0}
2022-11-01,2022-10-31,False,SGOV,0.0,0.0,{'SGOV': 1.0}
2022-12-01,2022-11-30,False,SGOV,0.0,0.0,{'SGOV': 1.0}
2023-01-03,2022-12-31,False,SGOV,0.0,0.0,{'SGOV': 1.0}
2023-02-01,2023-01-31,False,SGOV,0.0,0.0,{'SGOV': 1.0}
2023-03-01,2023-02-28,False,SGOV,0.0,0.0,{'SGOV': 1.0}
2023-04-03,2023-03-31,False,SGOV,0.0,0.0,{'SGOV': 1.0}
2023-05-01,2023-04-30,False,SGOV,0.0,0.0,{'SGOV': 1.0}
2023-06-01,2023-05-31,False,SGOV,0.0,0.0,{'SGOV': 1.0}
2023-07-03,2023-06-30,True,"EWW,FEZ,EWI,XHB,PAVE",1.0,0.0005,"{'EWI': 0.2, 'EWW': 0.2, 'FEZ': 0.2, 'PAVE': 0.2, 'SGOV': 0.0, 'XHB': 0.2}"
2023-08-01,2023-07-31,True,"EWW,EWI,FEZ,EWP,XHB",0.2,0.0001,"{'EWI': 0.2, 'EWP': 0.2, 'EWW': 0.2, 'FEZ': 0.2, 'SGOV': 0.0, 'XHB': 0.2}"
2023-09-01,2023-08-31,True,"EWI,EWW,FEZ,XHB,EPOL",0.2,0.0001,"{'EPOL': 0.2, 'EWI': 0.2, 'EWW': 0.2, 'FEZ': 0.2, 'SGOV': 0.0, 'XHB': 0.2}"
2023-10-02,2023-09-30,True,"EWI,XHB,EWW,FEZ,PAVE",0.2,0.0001,"{'EWI': 0.2, 'EWW': 0.2, 'FEZ': 0.2, 'PAVE': 0.2, 'SGOV': 0.0, 'XHB': 0.2}"
2023-11-01,2023-10-31,True,"XHB,XLC,EWI,URA,EPOL",0.6000000000000001,0.00030000000000000003,"{'EPOL': 0.2, 'EWI': 0.2, 'SGOV': 0.0, 'URA': 0.2, 'XHB': 0.2, 'XLC': 0.2}"
2023-12-01,2023-11-30,True,"IGV,URA,XLK,IXN,XLC",0.6000000000000001,0.00030000000000000003,"{'IGV': 0.2, 'IXN': 0.2, 'SGOV': 0.0, 'URA': 0.2, 'XLC': 0.2, 'XLK': 0.2}"
2024-01-02,2023-12-31,True,"IGV,ARKF,XLK,IXN,QQQM",0.4,0.0002,"{'ARKF': 0.2, 'IGV': 0.2, 'IXN': 0.2, 'QQQM': 0.2, 'SGOV': 0.0, 'XLK': 0.2}"
2024-02-01,2024-01-31,True,"IGV,SMIN,XLK,IXN,QQQM",0.2,0.0001,"{'IGV': 0.2, 'IXN': 0.2, 'QQQM': 0.2, 'SGOV': 0.0, 'SMIN': 0.2, 'XLK': 0.2}"
2024-03-01,2024-02-29,True,"IGV,XLK,SMIN,IXN,FDN",0.2,0.0001,"{'FDN': 0.2, 'IGV': 0.2, 'IXN': 0.2, 'SGOV': 0.0, 'SMIN': 0.2, 'XLK': 0.2}"
2024-04-01,2024-03-31,True,"SMIN,XHB,FDN,XLK,IXN",0.2,0.0001,"{'FDN': 0.2, 'IXN': 0.2, 'SGOV': 0.0, 'SMIN': 0.2, 'XHB': 0.2, 'XLK': 0.2}"
2024-05-01,2024-04-30,True,"FDN,SMH,XLK,IXN,QTEC",0.4,0.0002,"{'FDN': 0.2, 'IXN': 0.2, 'QTEC': 0.2, 'SGOV': 0.0, 'SMH': 0.2, 'XLK': 0.2}"
2024-06-03,2024-05-31,True,"SMIN,AMLP,PAVE,XME,XHB",1.0,0.0005,"{'AMLP': 0.2, 'PAVE': 0.2, 'SGOV': 0.0, 'SMIN': 0.2, 'XHB': 0.2, 'XME': 0.2}"
2024-07-01,2024-06-30,True,"SMIN,SMH,IXN,KCE,VUG",0.8,0.0004,"{'IXN': 0.2, 'KCE': 0.2, 'SGOV': 0.0, 'SMH': 0.2, 'SMIN': 0.2, 'VUG': 0.2}"
2024-08-01,2024-07-31,True,"SMIN,IXN,XLK,VUG,TMFC",0.4,0.0002,"{'IXN': 0.2, 'SGOV': 0.0, 'SMIN': 0.2, 'TMFC': 0.2, 'VUG': 0.2, 'XLK': 0.2}"
2024-09-03,2024-08-31,True,"SMIN,INDA,KCE,TMFC,IXN",0.4,0.0002,"{'INDA': 0.2, 'IXN': 0.2, 'KCE': 0.2, 'SGOV': 0.0, 'SMIN': 0.2, 'TMFC': 0.2}"
2024-10-01,2024-09-30,True,"IXN,KCE,TMFC,VUG,XLF",0.4,0.0002,"{'IXN': 0.2, 'KCE': 0.2, 'SGOV': 0.0, 'TMFC': 0.2, 'VUG': 0.2, 'XLF': 0.2}"
2024-11-01,2024-10-31,True,"KCE,TMFC,VUG,IXN,EIS",0.2,0.0001,"{'EIS': 0.2, 'IXN': 0.2, 'KCE': 0.2, 'SGOV': 0.0, 'TMFC': 0.2, 'VUG': 0.2}"
2024-12-02,2024-11-30,True,"KCE,XLF,TMFC,VUG,XLC",0.4,0.0002,"{'KCE': 0.2, 'SGOV': 0.0, 'TMFC': 0.2, 'VUG': 0.2, 'XLC': 0.2, 'XLF': 0.2}"
2025-01-02,2024-12-31,True,"XLC,TMFC,XLF,VUG,KCE",0.0,0.0,"{'KCE': 0.2, 'SGOV': 0.0, 'TMFC': 0.2, 'VUG': 0.2, 'XLC': 0.2, 'XLF': 0.2}"
2025-02-03,2025-01-31,True,"EIS,TMFC,EWS,ARKQ,ARKF",0.8,0.0004,"{'ARKF': 0.2, 'ARKQ': 0.2, 'EIS': 0.2, 'EWS': 0.2, 'SGOV': 0.0, 'TMFC': 0.2}"
2025-03-03,2025-02-28,True,"GLDM,XLC,SLV,EWS,FDN",0.8,0.0004,"{'EWS': 0.2, 'FDN': 0.2, 'GLDM': 0.2, 'SGOV': 0.0, 'SLV': 0.2, 'XLC': 0.2}"
2025-04-01,2025-03-31,True,"EWS,GLDM,XLC,SLV,GDX",0.2,0.0001,"{'EWS': 0.2, 'GDX': 0.2, 'GLDM': 0.2, 'SGOV': 0.0, 'SLV': 0.2, 'XLC': 0.2}"
2025-05-01,2025-04-30,True,"EWS,EIS,GLDM,XLC,EWP",0.4,0.0002,"{'EIS': 0.2, 'EWP': 0.2, 'EWS': 0.2, 'GLDM': 0.2, 'SGOV': 0.0, 'XLC': 0.2}"
2025-06-02,2025-05-31,True,"GLDM,EWS,EIS,EWP,CIBR",0.2,0.0001,"{'CIBR': 0.2, 'EIS': 0.2, 'EWP': 0.2, 'EWS': 0.2, 'GLDM': 0.2, 'SGOV': 0.0}"
2025-07-01,2025-06-30,True,"ARKW,EIS,EWS,ARKQ,EWP",0.4,0.0002,"{'ARKQ': 0.2, 'ARKW': 0.2, 'EIS': 0.2, 'EWP': 0.2, 'EWS': 0.2, 'SGOV': 0.0}"
2025-08-01,2025-07-31,True,"ARKW,ARKF,ARKQ,EWP,EWS",0.2,0.0001,"{'ARKF': 0.2, 'ARKQ': 0.2, 'ARKW': 0.2, 'EWP': 0.2, 'EWS': 0.2, 'SGOV': 0.0}"
2025-09-02,2025-08-31,True,"ARKW,ARKF,ARKQ,EWP,EWS",0.0,0.0,"{'ARKF': 0.2, 'ARKQ': 0.2, 'ARKW': 0.2, 'EWP': 0.2, 'EWS': 0.2, 'SGOV': 0.0}"
2025-10-01,2025-09-30,True,"ARKW,ARKQ,ARKF,EWP,EWI",0.2,0.0001,"{'ARKF': 0.2, 'ARKQ': 0.2, 'ARKW': 0.2, 'EWI': 0.2, 'EWP': 0.2, 'SGOV': 0.0}"
2025-11-03,2025-10-31,True,"ARKQ,EWP,ARKW,EWS,GLDM",0.4,0.0002,"{'ARKQ': 0.2, 'ARKW': 0.2, 'EWP': 0.2, 'EWS': 0.2, 'GLDM': 0.2, 'SGOV': 0.0}"
2025-12-01,2025-11-30,True,"EWP,GLDM,GDX,ARKQ,SLV",0.4,0.0002,"{'ARKQ': 0.2, 'EWP': 0.2, 'GDX': 0.2, 'GLDM': 0.2, 'SGOV': 0.0, 'SLV': 0.2}"
2026-01-02,2025-12-31,True,"EWP,GLDM,SLV,EWY,AVDV",0.4,0.0002,"{'AVDV': 0.2, 'EWP': 0.2, 'EWY': 0.2, 'GLDM': 0.2, 'SGOV': 0.0, 'SLV': 0.2}"
2026-02-02,2026-01-31,True,"EWP,EWY,GLDM,EZA,AVDV",0.2,0.0001,"{'AVDV': 0.2, 'EWP': 0.2, 'EWY': 0.2, 'EZA': 0.2, 'GLDM': 0.2, 'SGOV': 0.0}"
2026-03-02,2026-02-28,True,"GDX,SLVP,SLV,GLDM,EWY",0.6000000000000001,0.00030000000000000003,"{'EWY': 0.2, 'GDX': 0.2, 'GLDM': 0.2, 'SGOV': 0.0, 'SLV': 0.2, 'SLVP': 0.2}"
